Something, lowest_idx:1, dst_x:0, dst_y:2, local_time:10, prev_local_time:10, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:9, future_time:9
Something, lowest_idx:1, dst_x:0, dst_y:3, local_time:10, prev_local_time:10, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:9, future_time:9
Something, lowest_idx:1, dst_x:0, dst_y:0, local_time:10, prev_local_time:10, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:9, future_time:9
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:10, prev_local_time:10, flag:false, prev_lowest_idx:1, lowest_idx:3, prev_time:9, future_time:9
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:10, prev_local_time:10, flag:false, prev_lowest_idx:3, lowest_idx:3, prev_time:9, future_time:9
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:10, prev_local_time:10, flag:false, prev_lowest_idx:3, lowest_idx:3, prev_time:9, future_time:9
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:10, prev_local_time:10, flag:false, prev_lowest_idx:3, lowest_idx:3, prev_time:9, future_time:9
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:10, prev_local_time:10, flag:false, prev_lowest_idx:3, lowest_idx:3, prev_time:9, future_time:9
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:10, prev_local_time:10, flag:false, prev_lowest_idx:3, lowest_idx:3, prev_time:9, future_time:9
Something, lowest_idx:1, dst_x:0, dst_y:1, local_time:11, prev_local_time:10, flag:true, prev_lowest_idx:3, lowest_idx:1, prev_time:9, future_time:10
Something, lowest_idx:1, dst_x:0, dst_y:2, local_time:11, prev_local_time:11, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:10, future_time:10
Something, lowest_idx:1, dst_x:0, dst_y:3, local_time:11, prev_local_time:11, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:10, future_time:10
Something, lowest_idx:1, dst_x:0, dst_y:0, local_time:11, prev_local_time:11, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:10, future_time:10
Something, lowest_idx:1, dst_x:0, dst_y:1, local_time:11, prev_local_time:11, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:10, future_time:10
Something, lowest_idx:1, dst_x:0, dst_y:2, local_time:11, prev_local_time:11, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:10, future_time:10
Something, lowest_idx:1, dst_x:0, dst_y:3, local_time:11, prev_local_time:11, flag:false, prev_lowest_idx:1, lowest_idx:1, prev_time:10, future_time:10
Something, lowest_idx:3, dst_x:0, dst_y:3, local_time:11, prev_local_time:11, flag:false, prev_lowest_idx:1, lowest_idx:3, prev_time:10, future_time:10
